freq,currency,estruct,ecase,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EUR,NET,P1_NCH_AW100,LT	2270.40 	2343.04 	2510.39 	2694.34 	2871.84 	3137.20 	3751.73 	4714.12 	5667.32 	5361.47 	5245.02 	5401.30 	5635.73 	5954.89 	6284.47 	6651.85 	7217.25 	7897.69 	8690.66 	9794.92 	10787.57 	11798.21 	13297.64 	14783.41 	15909.06 
A,EUR,NET,P1_NCH_AW100,LU	25591.03 	27493.08 	29222.58 	29859.40 	30419.68 	31176.33 	31969.40 	32727.56 	34156.30 	35539.77 	36167.09 	36278.25 	37354.34 	37792.02 	38443.48 	38630.79 	38935.73 	41340.39 	42063.48 	42650.77 	44374.32 	44934.82 	46884.89 	48797.50 	50409.61 
A,EUR,NET,P1_NCH_AW100,LV	1670.31 	1784.97 	1891.44 	2096.19 	2333.70 	2702.25 	3371.65 	4431.28 	5443.86 	5424.98 	5068.61 	5286.45 	5462.67 	5776.88 	6264.34 	6814.57 	7212.23 	7772.59 	8474.82 	9144.05 	9786.84 	11229.49 	12147.46 	13418.00 	14550.22 
A,EUR,NET,P1_NCH_AW100,MT	: 	: 	: 	: 	: 	11624.50 	11950.15 	12514.21 	13542.87 	13883.84 	14473.93 	15642.97 	15999.95 	16306.00 	16010.00 	16337.95 	16926.20 	17305.15 	17890.15 	19107.19 	19652.90 	18292.50 	19784.81 	20555.05 	22859.04 
A,EUR,NET,P1_NCH_AW100,NL	21176.15 	23516.66 	24412.39 	25207.28 	25562.89 	26118.14 	27543.04 	28361.73 	28976.84 	30291.69 	30901.41 	31612.20 	31732.71 	32992.17 	33723.85 	34551.50 	34975.70 	35426.38 	35838.18 	37402.24 	39142.87 	40660.61 	42311.50 	45156.38 	47892.48 
A,EUR,NET,P1_NCH_AW100,NO	25488.81 	27841.12 	31706.91 	30841.86 	30584.86 	33541.89 	35049.00 	36994.97 	37977.11 	36967.18 	41684.47 	44490.18 	47783.08 	47595.99 	45903.97 	44451.46 	43662.09 	44443.89 	44692.89 	45219.15 	42534.89 	46935.39 	49209.04 	45795.10 	47231.87 
A,EUR,NET,P1_NCH_AW100,PL	4153.75 	4882.23 	4750.55 	4338.05 	4289.22 	4965.12 	5356.19 	6163.20 	7195.04 	6093.94 	6896.23 	7085.75 	7235.50 	7466.23 	7991.17 	8275.99 	8200.43 	8975.57 	9618.59 	10225.78 	11376.35 	11134.57 	12503.72 	14487.18 	17002.36 
A,EUR,NET,P1_NCH_AW100,PT	8676.61 	9175.94 	9499.25 	9843.15 	10158.59 	10586.56 	10882.77 	11362.96 	11715.22 	12006.44 	12189.88 	12008.16 	12253.01 	11729.30 	11663.77 	11535.88 	11704.24 	11938.30 	12401.75 	12823.40 	12934.79 	13502.54 	14213.56 	15301.09 	16946.92 
A,EUR,NET,P1_NCH_AW100,RO	: 	: 	: 	: 	: 	: 	: 	: 	3957.79 	3575.08 	3872.44 	4081.39 	4000.73 	4340.64 	4610.25 	5117.82 	5518.93 	6049.96 	6669.59 	7230.37 	7629.63 	8069.82 	9083.98 	10525.08 	12654.52 
A,EUR,NET,P1_NCH_AW100,SE	20684.65 	20321.66 	21700.56 	22139.37 	22945.65 	23388.42 	24243.82 	26364.04 	26789.77 	25451.97 	29043.96 	31319.63 	33473.42 	34473.44 	33923.28 	33389.85 	33711.94 	33923.05 	32688.36 	32427.59 	33366.68 	35485.73 	35188.72 	34207.06 	36147.03 
A,EUR,NET,P1_NCH_AW100,SI	5731.72 	6372.14 	6948.28 	7517.19 	8011.04 	8474.72 	8915.99 	9820.88 	10556.93 	10782.68 	11284.13 	11567.85 	11707.47 	11824.18 	11980.57 	12062.45 	12202.35 	12487.25 	12902.38 	13298.17 	13896.79 	14601.22 	15668.40 	17113.88 	17864.75 
A,EUR,NET,P1_NCH_AW100,SK	4196.64 	4333.99 	4549.97 	4804.77 	5247.64 	5644.51 	6018.99 	6408.40 	7023.15 	7264.52 	7493.69 	7642.75 	7797.27 	7936.58 	8250.32 	8426.75 	8654.34 	8961.03 	9464.61 	9975.02 	10250.84 	10982.50 	11846.85 	13027.56 	14069.86 
A,EUR,NET,P1_NCH_AW100,UK	30322.73 	31007.99 	31745.34 	29671.40 	31602.41 	32449.78 	33695.55 	35426.57 	31196.54 	28019.83 	29829.08 	29426.23 	32361.69 	31413.75 	33290.73 	37959.11 	34651.93 	33620.36 	34278.53 	35782.77 	: 	: 	: 	: 	: 
