freq,age,unit,sex,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,Y15-74,PC_ACT,T,ES	: 	: 	: 	: 	: 	: 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 	17.2 	15.3 	14.1 	15.5 	14.9 d	13.0 d	12.2 d	11.4 d	10.5 d
A,Y15-74,PC_ACT,T,FI	: 	: 	: 	: 	: 	: 	8.3 	8.6 	8.0 	7.9 	8.3 	8.7 	9.4 	8.9 	8.7 	7.5 	6.8 	7.7 	7.7 	6.8 	7.2 	8.4 	9.7 
A,Y15-74,PC_ACT,T,FR	8.5 	8.9 	8.9 	8.9 	8.0 	7.4 	9.1 	9.3 	9.2 	9.8 	10.3 	10.3 	10.3 	10.1 	9.4 	9.0 	8.4 	8.0 	7.9 d	7.3 d	7.3 d	7.4 d	7.7 d
A,Y15-74,PC_ACT,T,HR	: 	: 	: 	: 	: 	: 	9.2 	11.7 	13.7 	16.1 b	17.3 	17.3 	16.2 	13.0 	11.1 	8.3 	6.6 	7.4 	7.5 	6.8 	6.1 	5.0 	4.9 
A,Y15-74,PC_ACT,T,HU	: 	: 	: 	: 	: 	: 	9.7 	10.8 	10.7 	10.7 	9.8 	7.5 	6.6 	5.0 	4.0 	3.6 b	3.3 	4.1 	4.0 	3.6 	4.1 	4.5 	4.4 
A,Y15-74,PC_ACT,T,IE	: 	: 	: 	: 	: 	: 	12.6 	14.6 	15.4 	15.5 	13.8 	11.9 	9.9 	8.4 	6.7 	5.8 	5.0 	5.9 	6.2 b	4.5 	4.3 	4.3 	4.7 
A,Y15-74,PC_ACT,T,IS	: 	: 	: 	: 	: 	: 	7.2 	7.6 	7.0 	6.0 	5.4 	4.9 	4.0 	3.0 	2.7 	2.7 	3.5 	5.5 b	6.1 	3.8 	3.5 	3.6 	: 
A,Y15-74,PC_ACT,T,IT	: 	: 	: 	: 	: 	: 	7.9 	8.5 	8.5 	10.9 	12.4 	12.9 	12.0 	11.7 	11.3 	10.6 b	9.9 	9.3 	9.5 	8.1 	7.7 	6.5 	6.1 
A,Y15-74,PC_ACT,T,LT	: 	: 	: 	: 	: 	: 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 	7.1 	6.2 	6.3 	8.5 	7.1 	6.0 	6.9 	7.1 	6.9 
A,Y15-74,PC_ACT,T,LU	: 	: 	: 	: 	: 	: 	5.1 	4.4 	4.9 	5.1 	5.9 	5.9 	6.7 b	6.3 	5.5 	5.6 	5.6 	6.8 	5.3 	4.6 	5.2 	6.4 	6.5 
A,Y15-74,PC_ACT,T,LV	: 	: 	: 	: 	: 	: 	17.7 	19.7 	16.3 	15.1 	11.9 	10.9 	9.9 	9.7 	8.7 	7.4 	6.3 	8.1 	7.6 	6.9 	6.5 	6.9 	6.9 
A,Y15-74,PC_ACT,T,MT	: 	: 	: 	: 	: 	: 	6.9 	6.9 	6.4 	6.2 	6.1 	5.7 	5.4 	4.7 	4.0 	4.0 	4.1 	4.9 	3.8 	3.5 	3.5 	3.2 	3.1 
A,Y15-74,PC_ACT,T,NL	: 	: 	: 	: 	: 	: 	5.4 	6.1 	6.0 	6.8 	8.2 	8.4 	7.9 	7.0 	5.9 	4.9 	4.4 	4.9 	4.2 	3.5 	3.6 	3.7 	3.9 
A,Y15-74,PC_ACT,T,NO	: 	: 	: 	: 	: 	: 	3.4 	4.0 	3.6 	3.5 	3.9 	3.8 	4.7 	4.9 	4.4 	4.0 	3.9 	4.7 	4.4 	3.2 	3.6 	4.0 	4.5 
A,Y15-74,PC_ACT,T,PL	: 	: 	: 	: 	: 	: 	8.5 	10.0 b	10.0 	10.4 	10.6 	9.2 	7.7 	6.3 	5.0 	3.9 	3.3 b	3.2 	3.4 	2.9 	2.8 	2.9 	3.1 
A,Y15-74,PC_ACT,T,PT	: 	: 	: 	: 	: 	: 	11.2 	12.6 	13.5 	16.6 	17.2 	14.6 	13.0 	11.5 	9.2 	7.2 	6.6 	7.1 	6.7 	6.2 	6.5 	6.5 	6.0 
A,Y15-74,PC_ACT,T,RO	: 	: 	: 	: 	: 	: 	8.4 	9.0 	9.1 	8.7 	9.0 	8.6 	8.4 	7.2 	6.1 	5.3 	4.9 	6.1 	5.6 	5.6 	5.6 	5.4 	6.1 
A,Y15-74,PC_ACT,T,SE	: 	: 	7.9 	7.2 	6.3 	6.3 	8.5 	8.7 	7.9 	8.1 	8.1 	8.0 	7.5 	7.1 	6.8 	6.5 	6.9 	8.5 	8.9 	7.5 	7.7 	8.4 	8.8 
A,Y15-74,PC_ACT,T,SI	: 	: 	: 	: 	: 	: 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.0 	8.0 	6.6 	5.1 	4.4 	5.0 	4.8 	4.0 	3.7 	3.7 	3.9 
A,Y15-74,PC_ACT,T,SK	: 	: 	: 	: 	: 	: 	12.0 	14.3 	13.5 b	13.9 	14.1 	13.1 	11.5 	9.6 	8.1 	6.5 	5.7 	6.7 	6.8 	6.1 	5.8 	5.3 	5.4 
